time (sec),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.02400E+02,2.0901607369810800E+00,0.0000000000000000E+00,-1.1795033249561600E+00
2.02410E+02,2.0971787630702200E+00,0.0000000000000000E+00,-1.1874094642233600E+00
2.02420E+02,2.1041874215215300E+00,0.0000000000000000E+00,-1.1953222557580400E+00
2.02430E+02,2.1111867936370500E+00,0.0000000000000000E+00,-1.2032415893628600E+00
2.02440E+02,2.1181769604310500E+00,0.0000000000000000E+00,-1.2111673560243400E+00
2.02450E+02,2.1251580026261700E+00,0.0000000000000000E+00,-1.2190994479015500E+00
2.02460E+02,2.1321300006495300E+00,0.0000000000000000E+00,-1.2270377583147800E+00
2.02470E+02,2.1390930346290600E+00,0.0000000000000000E+00,-1.2349821817343700E+00
2.02480E+02,2.1460471843898600E+00,0.0000000000000000E+00,-1.2429326137696600E+00
2.02490E+02,2.1529925294507800E+00,0.0000000000000000E+00,-1.2508889511579500E+00
2.02500E+02,2.1599291490210000E+00,0.0000000000000000E+00,-1.2588510917536400E+00
2.02510E+02,2.1668571219967600E+00,0.0000000000000000E+00,-1.2668189345174100E+00
2.02520E+02,2.1737765269582500E+00,0.0000000000000000E+00,-1.2747923795054800E+00
2.02530E+02,2.1806874421665100E+00,0.0000000000000000E+00,-1.2827713278590300E+00
2.02540E+02,2.1875899455605000E+00,0.0000000000000000E+00,-1.2907556817936200E+00
2.02550E+02,2.1944841147542600E+00,0.0000000000000000E+00,-1.2987453445888100E+00
2.02560E+02,2.2013700270341500E+00,0.0000000000000000E+00,-1.3067402205777400E+00
2.02570E+02,2.2082477593561900E+00,0.0000000000000000E+00,-1.3147402151369100E+00
2.02580E+02,2.2151173883435200E+00,0.0000000000000000E+00,-1.3227452346760100E+00
2.02590E+02,2.2219789902839200E+00,0.0000000000000000E+00,-1.3307551866277900E+00
2.02600E+02,2.2288326411274500E+00,0.0000000000000000E+00,-1.3387699794381200E+00
2.02610E+02,2.2356784164841600E+00,0.0000000000000000E+00,-1.3467895225560600E+00
2.02620E+02,2.2425163916219200E+00,0.0000000000000000E+00,-1.3548137264240100E+00
2.02630E+02,2.2493466414642700E+00,0.0000000000000000E+00,-1.3628425024680200E+00
2.02640E+02,2.2561692405884600E+00,0.0000000000000000E+00,-1.3708757630881100E+00
2.02650E+02,2.2629842632234400E+00,0.0000000000000000E+00,-1.3789134216487200E+00
2.02660E+02,2.2697917832480700E+00,0.0000000000000000E+00,-1.3869553924692100E+00
2.02670E+02,2.2765918741893300E+00,0.0000000000000000E+00,-1.3950015908145100E+00
2.02680E+02,2.2833846092205900E+00,0.0000000000000000E+00,-1.4030519328857400E+00
2.02690E+02,2.2901700611600400E+00,0.0000000000000000E+00,-1.4111063358110600E+00
2.02700E+02,2.2969483024691000E+00,0.0000000000000000E+00,-1.4191647176364600E+00
2.02710E+02,2.3037194052510200E+00,0.0000000000000000E+00,-1.4272269973167500E+00
2.02720E+02,2.3104834412494000E+00,0.0000000000000000E+00,-1.4352930947065200E+00
2.02730E+02,2.3172404818469400E+00,0.0000000000000000E+00,-1.4433629305513000E+00
2.02740E+02,2.3239905980641600E+00,0.0000000000000000E+00,-1.4514364264787100E+00
2.02750E+02,2.3307338605582000E+00,0.0000000000000000E+00,-1.4595135049897100E+00
2.02760E+02,2.3374703396217500E+00,0.0000000000000000E+00,-1.4675940894499600E+00
2.02770E+02,2.3442001051819400E+00,0.0000000000000000E+00,-1.4756781040812500E+00
2.02780E+02,2.3509232267994200E+00,0.0000000000000000E+00,-1.4837654739529700E+00
2.02790E+02,2.3576397736673700E+00,0.0000000000000000E+00,-1.4918561249737000E+00
2.02800E+02,2.3643498146107200E+00,0.0000000000000000E+00,-1.4999499838828400E+00
2.02810E+02,2.3710534180852800E+00,0.0000000000000000E+00,-1.5080469782423800E+00
2.02820E+02,2.3777506521770500E+00,0.0000000000000000E+00,-1.5161470364286800E+00
2.02830E+02,2.3844415846015200E+00,0.0000000000000000E+00,-1.5242500876243600E+00
2.02840E+02,2.3911262827030400E+00,0.0000000000000000E+00,-1.5323560618102400E+00
2.02850E+02,2.3978048134543000E+00,0.0000000000000000E+00,-1.5404648897573900E+00
2.02860E+02,2.4044772434557700E+00,0.0000000000000000E+00,-1.5485765030192200E+00
2.02870E+02,2.4111436389352500E+00,0.0000000000000000E+00,-1.5566908339236700E+00
2.02880E+02,2.4178040657475000E+00,0.0000000000000000E+00,-1.5648078155654500E+00
2.02890E+02,2.4244585893738700E+00,0.0000000000000000E+00,-1.5729273817983900E+00
2.02900E+02,2.4311072749219900E+00,0.0000000000000000E+00,-1.5810494672277800E+00
2.02910E+02,2.4377501871255300E+00,0.0000000000000000E+00,-1.5891740072029000E+00
2.02920E+02,2.4443873903440000E+00,0.0000000000000000E+00,-1.5973009378095100E+00
2.02930E+02,2.4510189485625800E+00,0.0000000000000000E+00,-1.6054301958624700E+00
2.02940E+02,2.4576449253920600E+00,0.0000000000000000E+00,-1.6135617188984500E+00
2.02950E+02,2.4642653840686900E+00,0.0000000000000000E+00,-1.6216954451686100E+00
2.02960E+02,2.4708803874542700E+00,0.0000000000000000E+00,-1.6298313136314700E+00
2.02970E+02,2.4774899980360800E+00,0.0000000000000000E+00,-1.6379692639457700E+00
2.02980E+02,2.4840942779270000E+00,0.0000000000000000E+00,-1.6461092364634100E+00
2.02990E+02,2.4906932888656400E+00,0.0000000000000000E+00,-1.6542511722225000E+00
2.03000E+02,2.4972870922164200E+00,0.0000000000000000E+00,-1.6623950129403900E+00
2.03010E+02,2.5038757489698400E+00,0.0000000000000000E+00,-1.6705407010068800E+00
2.03020E+02,2.5104593197426600E+00,0.0000000000000000E+00,-1.6786881794773800E+00
