time (sec),ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
2.43250E+02,3.2001716600871800E+01,1.2000148009858200E+02,1.7302579586183300E+02
2.43260E+02,3.2001716601372300E+01,1.2000148115685100E+02,1.7302580932582200E+02
2.43270E+02,3.2001716601870200E+01,1.2000148221512000E+02,1.7302582266709700E+02
2.43280E+02,3.2001716602365400E+01,1.2000148327338800E+02,1.7302583588630200E+02
2.43290E+02,3.2001716602858100E+01,1.2000148433165700E+02,1.7302584898407800E+02
2.43300E+02,3.2001716603348100E+01,1.2000148538992600E+02,1.7302586196106100E+02
2.43310E+02,3.2001716603835600E+01,1.2000148644819400E+02,1.7302587481788700E+02
2.43320E+02,3.2001716604320600E+01,1.2000148750646300E+02,1.7302588755518600E+02
2.43330E+02,3.2001716604803000E+01,1.2000148856473200E+02,1.7302590017358500E+02
2.43340E+02,3.2001716605282800E+01,1.2000148962300100E+02,1.7302591267370800E+02
2.43350E+02,3.2001716605760200E+01,1.2000149068126900E+02,1.7302592505617700E+02
2.43360E+02,3.2001716606235000E+01,1.2000149173953800E+02,1.7302593732160900E+02
2.43370E+02,3.2001716606707300E+01,1.2000149279780700E+02,1.7302594947061800E+02
2.43380E+02,3.2001716607177200E+01,1.2000149385607600E+02,1.7302596150381600E+02
2.43390E+02,3.2001716607644600E+01,1.2000149491434400E+02,1.7302597342180900E+02
2.43400E+02,3.2001716608109500E+01,1.2000149597261300E+02,1.7302598522520400E+02
2.43410E+02,3.2001716608572000E+01,1.2000149703088200E+02,1.7302599691460200E+02
2.43420E+02,3.2001716609032100E+01,1.2000149808915100E+02,1.7302600849060100E+02
2.43430E+02,3.2001716609489800E+01,1.2000149914741900E+02,1.7302601995379600E+02
2.43440E+02,3.2001716609945000E+01,1.2000150020568800E+02,1.7302603130478000E+02
2.43450E+02,3.2001716610397900E+01,1.2000150126395700E+02,1.7302604254414100E+02
2.43460E+02,3.2001716610848400E+01,1.2000150232222600E+02,1.7302605367246500E+02
2.43470E+02,3.2001716611296500E+01,1.2000150338049400E+02,1.7302606469033600E+02
2.43480E+02,3.2001716611742300E+01,1.2000150443876300E+02,1.7302607559833300E+02
2.43490E+02,3.2001716612185700E+01,1.2000150549703200E+02,1.7302608639703300E+02
